AC Name,AC No.,Type,District,Winning Candidate,Party,Total Electors,Total Votes,Poll%,Margin,Margin %
Harur,61,SC,Dharmapuri,R.MURUGAN,All India Anna Dravida Munnetra Kazhagam,,190134,,11421,6.0%
Chengam,62,SC,Tiruvannamalai,GIRI .M.P,Dravida Munetra Kazhagam,,210403,,12691,6.0%
Tiruvannamalai,63,GEN,Tiruvannamalai,"VELU,E.V.",Dravida Munetra Kazhagam,,203825,,50348,24.7%
Kilpennathur,64,GEN,Tiruvannamalai,PITCHANDI K,Dravida Munetra Kazhagam,,197287,,34666,17.6%
Kalasapakkam,65,GEN,Tiruvannamalai,PANNEERSELVAM V,All India Anna Dravida Munnetra Kazhagam,,185859,,26414,14.2%
Polur,66,GEN,Tiruvannamalai,SEKARAN.K.V,Dravida Munetra Kazhagam,,195714,,8273,4.2%
Arani,67,GEN,Tiruvannamalai,"RAMACHANDRAN, S",All India Anna Dravida Munnetra Kazhagam,,209545,,7327,3.5%
Cheyyar,68,GEN,Tiruvannamalai,MOHAN K,All India Anna Dravida Munnetra Kazhagam,,205813,,8527,4.1%
Vandavasi,69,SC,Tiruvannamalai,"AMBETHKUMAR, S",Dravida Munetra Kazhagam,,181476,,18068,10.0%
Gingee,70,GEN,Viluppuram,MASTHAN K S,Dravida Munetra Kazhagam,,201024,,22057,11.0%
Mailam,71,GEN,Viluppuram,MASILAMANI R,Dravida Munetra Kazhagam,,171211,,12306,7.2%
Tindivanam,72,SC,Viluppuram,SEETHAPATHY P,Dravida Munetra Kazhagam,,175150,,101,0.1%
Vanur,73,SC,Viluppuram,CHAKRAPANI M,All India Anna Dravida Munnetra Kazhagam,,174428,,10223,5.9%
Villupuram,74,GEN,Viluppuram,SHANMUGAM C VE,All India Anna Dravida Munnetra Kazhagam,,188964,,22291,11.8%
Vikravandi,75,GEN,Viluppuram,RATHAMANI.K,Dravida Munetra Kazhagam,,178637,,6912,3.9%
Tirukkoyilur,76,GEN,Viluppuram,PONMUDY K,Dravida Munetra Kazhagam,,188438,,41057,21.8%
Ulundurpettai,77,GEN,Viluppuram,"KUMARAGURU, R.",All India Anna Dravida Munnetra Kazhagam,,227476,,4164,1.8%
Rishivandiyam,78,GEN,Viluppuram,KARTHIKEYAN.K,Dravida Munetra Kazhagam,,196697,,20503,10.4%
Sankarapuram,79,GEN,Viluppuram,UDHAYASURIYAN.T,Dravida Munetra Kazhagam,,203295,,14528,7.1%
Kallakurichi,80,SC,Viluppuram,PRABHU A,All India Anna Dravida Munnetra Kazhagam,,213719,,4104,1.9%
Gangavalli,81,SC,Salem,MARUTHAMUTHU.A,All India Anna Dravida Munnetra Kazhagam,,175981,,2262,1.3%
Attur,82,SC,Salem,CHINNATHAMBI R M,All India Anna Dravida Munnetra Kazhagam,,186788,,17334,9.3%
Yercaud,83,ST,Salem,CHITRA.G,All India Anna Dravida Munnetra Kazhagam,,222566,,17394,7.8%
Omalur,84,GEN,Salem,VETRIVEL.S,All India Anna Dravida Munnetra Kazhagam,,227295,,19956,8.8%
Mettur,85,GEN,Salem,SEMMALAI.S,All India Anna Dravida Munnetra Kazhagam,,207574,,6282,3.0%
Edappadi,86,GEN,Salem,PALANISWAMI. K,All India Anna Dravida Munnetra Kazhagam,,225644,,42022,18.6%
Sankari,87,GEN,Salem,RAJA.S,All India Anna Dravida Munnetra Kazhagam,,215863,,37374,17.3%
Salem (West),88,GEN,Salem,VENKATACHALAM.G,All India Anna Dravida Munnetra Kazhagam,,202478,,7247,3.6%
Salem (North),89,GEN,Salem,RAJENDRAN.R,Dravida Munetra Kazhagam,,191820,,9873,5.1%
Salem (South),90,GEN,Salem,SAKTHIVEL A B,All India Anna Dravida Munnetra Kazhagam,,197889,,30453,15.4%
Veerapandi,91,GEN,Salem,MANONMANI.P,All India Anna Dravida Munnetra Kazhagam,,206718,,14481,7.0%
Rasipuram,92,SC,Namakkal,SAROJA V. DR,All India Anna Dravida Munnetra Kazhagam,,186869,,9631,5.2%
Senthamangalam,93,ST,Namakkal,CHANDRASEKARAN C,All India Anna Dravida Munnetra Kazhagam,,189917,,12333,6.5%
Namakkal,94,GEN,Namakkal,BASKAR. K.P.P,All India Anna Dravida Munnetra Kazhagam,,194441,,13534,7.0%
